,mean_speed,cum_variance,cum_departed
16,18.620970,0.000000,776
17,18.631134,0.000026,814
18,18.685487,0.000802,861
19,18.591120,0.001164,918
20,18.500690,0.003697,977
21,18.486679,0.005054,1037
22,18.383942,0.009332,1078
23,18.247629,0.018644,1137
24,18.360986,0.019021,1188
25,18.186201,0.026036,1246
26,17.934089,0.047359,1297
27,18.118472,0.050395,1361
28,18.017063,0.056694,1415
29,18.350373,0.052661,1460
30,18.414079,0.049298,1496
31,18.324359,0.046332,1548
32,18.633106,0.047562,1583
33,18.802529,0.054218,1623
34,18.502936,0.051843,1674
35,18.577591,0.050584,1729
36,18.313355,0.048676,1772
37,18.172867,0.048975,1823
38,18.517806,0.047398,1877
39,18.420772,0.045430,1922
40,18.213143,0.045073,1966
41,18.094237,0.046803,2022
42,18.207856,0.046234,2077
43,18.256624,0.045123,2121
44,18.371443,0.043568,2163
45,18.689901,0.045267,2210
46,18.526466,0.044409,2272
47,18.586541,0.044166,2323
48,18.430612,0.042859,2370
49,18.710592,0.044368,2409
50,18.400196,0.043102,2457
51,18.699406,0.044197,2502
52,19.024537,0.052736,2547
53,18.930921,0.057711,2580
54,19.061077,0.065693,2624
55,18.749735,0.066076,2673
56,18.941239,0.069778,2724
57,18.934674,0.072917,2776
58,18.709008,0.072300,2831
59,18.329223,0.071275,2890
60,18.234288,0.071138,2938
