,mean_speed,variance,cum_variance,departed,link1,link2,link3,link4,link5
1,15.500390,0.191452,0.000000,2937,18.479125,18.494520,18.506023,17.064080,9.935575
2,15.451042,0.212194,0.000609,2936,18.352455,18.424161,18.466694,17.131507,9.813584
3,15.365876,0.138025,0.003087,2937,18.359780,18.266101,18.271502,16.933744,9.864552
4,15.374500,0.143146,0.003098,2936,18.298853,18.303046,18.435734,17.076565,9.722121
5,15.424810,0.164523,0.002479,2938,18.362143,18.321726,18.360600,17.149116,9.850198
6,15.453746,0.122838,0.002194,2937,18.355616,18.339755,18.354913,17.208983,9.888742
7,15.523457,0.163067,0.002987,2937,18.454861,18.467883,18.456891,17.254880,9.865733
8,15.558664,0.141637,0.004103,2937,18.517019,18.474715,18.500644,17.255250,9.937912
9,15.446420,0.190315,0.003657,2937,18.475526,18.398817,18.434656,17.034398,9.859972
10,15.443091,0.217733,0.003305,2934,18.369099,18.327577,18.435435,17.108731,9.824296
11,15.398338,0.157367,0.003263,2939,18.337811,18.332808,18.366471,17.141045,9.791187
12,15.488406,0.128998,0.003109,2936,18.399238,18.310813,18.374126,17.102957,9.971892
13,15.361811,0.186439,0.003452,2935,18.325029,18.278649,18.348067,17.240180,9.714490
14,15.497411,0.186960,0.003385,2936,18.487047,18.448215,18.510408,17.186262,9.852146
15,15.479227,0.173819,0.003216,2938,18.386204,18.442773,18.533209,17.034544,9.886560
16,15.338561,0.134670,0.003757,2938,18.343856,18.214119,18.240222,16.950105,9.799649
17,15.524387,0.164384,0.003893,2937,18.465733,18.408566,18.472946,17.203690,9.935274
18,15.421364,0.173533,0.003716,2933,18.330774,18.319936,18.263942,17.112664,9.878271
19,15.466394,0.120323,0.003539,2936,18.389546,18.357224,18.426459,17.155017,9.881246
20,15.455082,0.184060,0.003364,2937,18.328883,18.312852,18.470530,17.116323,9.864671
