,link1,link2,link3,link4,link5
0,44,41,45,56,27
1,37,44,35,47,52
2,45,33,44,36,45
3,48,44,32,48,36
4,57,49,44,32,50
5,52,57,51,45,32
6,38,52,56,53,43
7,52,42,52,57,52
8,42,52,48,45,63
9,47,47,50,49,44
10,44,45,52,49,43
11,62,43,41,55,46
12,50,61,45,39,55
13,44,46,58,47,37
14,34,44,46,53,50
15,48,28,47,42,53
16,32,46,29,48,41
17,34,33,49,31,48
18,49,30,37,49,29
19,50,50,29,39,49
20,36,52,46,31,44
21,48,34,54,48,33
22,51,48,34,57,40
23,42,50,46,38,50
24,41,43,47,48,44
25,48,38,42,46,50
26,49,53,33,41,46
27,44,41,58,32,42
28,38,42,44,51,39
29,41,37,42,46,48
30,56,40,42,40,45
31,52,57,35,40,43
32,41,54,56,40,36
33,34,41,58,50,45
34,42,35,42,61,47
35,41,40,36,43,56
36,42,40,41,36,46
37,33,39,40,35,37
38,39,33,40,41,36
39,46,39,28,45,40
40,45,51,39,29,41
41,43,47,49,43,29
42,42,52,42,55,41
43,55,43,50,41,57
44,47,52,35,62,36
