,mean_speed,variance,cum_variance,departed,link1,link2,link3,link4,link5
1,4.285245,3.043368,0.000000,2936,7.284380,4.532428,3.576410,3.353662,8.696183
2,4.019012,2.991880,0.017720,2624,6.739730,3.848024,3.241969,3.377629,8.522114
3,4.104238,4.629657,0.012323,2865,7.812508,4.459301,3.145417,3.159771,8.796955
4,4.000600,3.129320,0.012688,2924,8.171340,4.061024,3.026228,3.253215,8.710112
5,3.865754,2.106833,0.019101,2823,6.277621,3.689166,3.364632,3.239285,8.825057
6,4.035474,3.237788,0.015970,2905,8.713132,3.934191,3.005794,3.024922,8.697756
7,3.894222,2.528396,0.016726,2764,6.789153,3.777154,3.292895,3.247039,8.779692
8,4.231239,3.345751,0.019099,2918,8.308132,4.406265,3.214616,3.362018,8.817701
9,3.891614,3.538149,0.019597,2697,7.510142,3.634576,3.236287,3.334443,8.778418
10,4.043330,3.404574,0.017641,2705,7.838748,4.044257,3.340887,3.315469,8.709731
11,4.232580,2.814094,0.019197,2889,7.484978,4.703719,3.503346,2.939263,8.808547
12,4.091874,2.603000,0.017702,2725,7.549962,4.012904,3.444892,3.267977,8.793302
13,4.073435,2.875791,0.016357,2903,7.328050,3.993251,3.287664,3.229677,8.584611
14,4.132232,2.516753,0.015543,2778,8.358352,4.032934,3.385126,3.157727,8.682017
15,4.084108,3.801485,0.014531,2915,8.988729,4.167494,2.945718,3.280461,8.541522
16,4.051503,3.669782,0.013635,2912,9.668774,4.173055,2.963828,3.143412,8.701677
17,4.270419,3.178818,0.015174,2927,7.516330,4.631494,3.466612,3.339729,9.008063
18,3.983496,3.032708,0.014788,2894,8.019756,4.022474,2.993797,3.294995,8.790060
19,4.084357,3.113975,0.014018,2907,8.828222,4.205981,2.955768,3.105219,8.756674
20,4.173303,2.994798,0.013801,2875,7.870883,4.476082,3.348917,3.222191,8.722190
